Wort,DDR,BRD,chi squared,Frequenzunterschiede mit 95%,Frequenzunterschiede mit 99.9%
Nacht,320,362,1.027,nicht signifikant,nicht signifikant
Leben,313,230,35.204,signifikant,signifikant
Tag,276,210,27.396,signifikant,signifikant
Traum,264,248,8.95,signifikant,nicht signifikant
Liebe,256,369,4.123,signifikant,nicht signifikant
Zeit,237,203,14.019,signifikant,signifikant
Welt,212,209,4.902,signifikant,nicht signifikant
Mann,139,242,11.174,signifikant,signifikant
Lied,127,111,6.741,signifikant,nicht signifikant
Erde,126,63,35.906,signifikant,signifikant
Haus,124,129,1.653,nicht signifikant,nicht signifikant
Auge,116,113,2.969,nicht signifikant,nicht signifikant
Wind,115,84,13.178,signifikant,signifikant
Mensch,112,92,8.101,signifikant,nicht signifikant
Haut,111,40,49.652,signifikant,signifikant
Jahr,108,105,2.81,nicht signifikant,nicht signifikant
Hand,105,143,0.707,nicht signifikant,nicht signifikant
Herz,103,188,10.85,signifikant,signifikant
Wort,98,90,3.87,signifikant,nicht signifikant
Mädchen,98,115,0.089,nicht signifikant,nicht signifikant
