Wort,DDR,BRD,chi squared,signifikant
Nacht,320,362,1.009,nicht signifikant
Leben,313,230,35.106,signifikant
Tag,276,210,27.314,signifikant
Traum,264,248,8.903,signifikant
Liebe,256,369,4.158,signifikant
Zeit,237,203,13.964,signifikant
Welt,212,209,4.871,signifikant
Mann,139,242,11.218,signifikant
Lied,127,111,6.713,signifikant
Erde,126,63,35.846,signifikant
Haus,124,129,1.638,nicht signifikant
Auge,116,113,2.951,nicht signifikant
Wind,115,84,13.141,signifikant
Mensch,112,92,8.072,signifikant
Haut,111,40,49.589,signifikant
Jahr,108,105,2.792,nicht signifikant
Hand,105,143,0.716,nicht signifikant
Herz,103,188,10.888,signifikant
Wort,98,90,3.851,signifikant
Mädchen,98,115,0.086,nicht signifikant
